Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
N 188  	Hoftuft	Valle sn	Aust-Agder fylke	Valle	Oldsaksamlingen							V			sten	täljsten	sländtrissa				http://www.khm.uio.no/tema/utstillingsarkiv/kyss-meg/6_vikingtiden.html
N 189 M 	Rike	Valle sn	Aust-Agder fylke	Valle	Oldsaksamlingen (nr. 954)							M ca 1200			metall		sköldbuckla				
N 190 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M ca 1100?		Hreiðarr som signerat 191?	sten		berghäll	Lönnrunor, magisk inskrift.			
N 191 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M ca 1100		Hreiðarr?	sten		berghäll				
N 192 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M ca 1100		Hreiðarr som signerat 191?	sten		berghäll				
N 193 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M?			sten		berghäll				
N 194 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M?			sten		berghäll				
N 195 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M?			sten		berghäll				
N 196 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M?			sten		berghäll				
N 197 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M?			sten		berghäll				
N 198 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M?			sten		berghäll				
N 199 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M?			sten		berghäll				
N 200 M 	Storhedder	Bykle sn	Aust-agder fylke	Bykle								M?			sten		berghäll				
N 201 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M 1100-t?			sten		berghäll				
N 202 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M 1200-t			sten		berghäll				
N 203 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M 1200-t			sten		berghäll				
N 204 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M 1100-1200-t			sten		berghäll				
N 205 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M 1100-1200-t			sten		berghäll				
N 206 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M 1100-1200-t			sten		berghäll				
N 207 M 	Storhedder	Bykle sn	Aust-Agder fylke	Bykle								M 1100-1200-t			sten		berghäll				
N 208  	Ryen	Tveid sn	Vest-Agder fylke	Kristiansand								V	RAK		sten	gnejs	runsten				
N 209 $ 	Oddernes	Oddernes sn	Vest-Agder fylke	Kristiansand	I Oddernes kirke, vapenhuset				[lokalitet/43167]			V			sten	gnejs	runsten	I samma sten som N 210.	L 1921	$=Knirk 1993	
N 210 $ 	Oddernes	Oddernes sn	Vest-Agder fylke	Kristiansand	I Oddernes kirke, vapenhuset				[lokalitet/43167]			V	RAK		sten	gnejs	runsten	I samma sten som N 209.	L 1921	$=NOR 1987:9, http://urn.nb.no/URN:NBN:no-44873; $=Knirk 1993:180	
N 211  	Søgne	Søgne sn	Vest-Agder fylke	Søgne		(58.0908 ; 7.8397)			[lokalitet/91378]			V	RAK		sten	gnejs	runsten		L 1458a		
N 212 M 	Huseby	Farsund sn	Vest-Agder fylke	Farsund					[lokalitet/13210]			M 1100-t			sten		runsten				
N 213  	Skollevoll	Lista sn (Vanse)	Vest-Agder fylke	Farsund	Oldsaksamlingen (nr. 3612)							V	RAK		sten	granit	runsten		L 1458		
N 214 M 	Framvaren		Vest-Agder fylke	Farsund								M ca 1100			sten		berghäll		L 2037		
N 215 †M 	Flekkefjord (nes) kirke	Nes sn	Vest-Agder fylke	Flekkefjord		(58.2961 ; 6.6618)						M 1100-t			sten	gråsten	gravhäll		L 1830		
N 216 †M 	Tonstad kirke	Tonstad sn	Vest-Agder fylke	Sirdal		(58.6670 ; 6.7169)						M ca 1200			trä	trä	träinskrift		L 1926		
N 217  	Ålgård	Sokndal sn	Rogaland fylke	Sokndal					[lokalitet/24710]			V	RAK		sten	gråsten	runsten		L 2040		
N 218 †M 	Lund kirke	Lund sn	Rogaland fylke	Lund		(58.4480 ; 6.5535)						M			trä	trä	träinskrift		L 1948		
N 219 †M 	Lund kirke	Lund sn	Rogaland fylke	Lund		(58.4480 ; 6.5535)						M			trä	trä	träinskrift		L 1948		
N 220 †M 	Lund kirke	Lund sn	Rogaland fylke	Lund		(58.4480 ; 6.5535)						M			trä	trä	träinskrift				
N 221 M 	Orrestad	Helleland sn	Rogaland fylke	Eigersund	Oldsaksamlingen (nr. 4057)							M ca 1200			sten		runsten				
